[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
  170   12301   2.9750E+01   4.9179E-15  0.1036
  171   12400   3.5015E+02   1.1527E-15  0.2000
  172   12401   1.4338E+01   9.2106E-16  0.2314
  173   12500   8.4983E+02   2.6203E-17  0.5087
  174   12501   3.2192E+01   2.6660E-17  0.5020
  175   12600   1.8524E+01   2.6668E-14  0.2307
  176   12700   1.7679E+02   3.1439E-15  0.4272
  177   12800   1.5079E+01   1.2043E-14  0.3510
  178   12801   3.4700E-02   5.5677E-14  0.8452
  179   13100   1.9886E+01   7.4850E-14  0.1967
  180   13200   1.8511E+01   3.3739E-13  0.0897
  181   13300   1.9995E+01   2.3249E-14  0.3215
  182   13301   3.8491E+01   4.0290E-14  0.2202
  183   13400   2.9829E+00   2.5276E-14  0.5105
  184   13500   7.4574E+00   0.0000E+00  0.0000
  185   13600   7.4574E+00   0.0000E+00  0.0000
  186   13700   3.7941E+01   0.0000E+00  0.0000
  187   13701   1.2937E+00   0.0000E+00  0.0000
  188   13800   1.9231E+02   1.4443E-17  1.0000
  189   13900   8.0307E+01   5.8388E-16  0.9948
  190   14000   3.6006E+01   4.8767E-14  0.1716

#   sum over    5.9276E+04   4.3763E-15  0.0213

'no. =  1'
msuc: {\huge [t-deposit] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+04 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+04 # Total history number or Total batch number
# maxcas =        1000 # History / Batch, only used for istdev=1
# bitrseed = 0111011010010100011001101100101001110100011011011011110011011010 # bit data of rseed
