Phantom Group,Sex,Compound Organ,Acronym,Constituent Organ IDs,Reference Mass (g),Phantom Mass (g),% Error
ICRP145_RESIZED,Male,RLung + LLung,Lungs,9700_9900,1060.6968515359013,1060.6968515359013,0.0
ICRP145_RESIZED,Male,Stomach wall,St-wall,7200_7201_7202_7203,171.89931918877897,171.89931918877897,0.0
ICRP145_RESIZED,Male,Stem cells of stomach,St-stem,7201,1.0554677357504934,1.0554677357504934,0.0
ICRP145_RESIZED,Male,Breast-a + Breast-g,Breast,6200_6300_6400_6500,22.942430878073644,22.942430878073644,0.0
ICRP145_RESIZED,Male,ROvary + LOvary,Ovaries,11100_11200,0.0,0.0,
ICRP145_RESIZED,Male,Testes,Testes,12900_13000,31.775315784325727,31.775315784325727,0.0
ICRP145_RESIZED,Male,Urinary bladder wall,UB-wall,13700_13701,45.21454868857473,45.21454868857473,0.0
ICRP145_RESIZED,Male,Urinary bladder basal cells,UB-basal,13701,1.8323037463906737,1.8323037463906737,0.0
ICRP145_RESIZED,Male,Oesophagus wall,Oesophagus,11000_11001_11002,45.8503239154361,45.8503239154361,0.0
ICRP145_RESIZED,Male,Oesophagus basal cells,Oesophagus-bas,11001,0.09120915065870157,0.09120915065870157,0.0
ICRP145_RESIZED,Male,Liver,Liver,9500,2088.232684650478,2088.232684650478,0.0
ICRP145_RESIZED,Male,Thyroid,Thyroid,13200,20.661579089271694,20.661579089271694,0.0
ICRP145_RESIZED,Male,50-um endosteal region,Endost-BS,1400_1500_1700_2000_2100_2300_2500_2700_2900_3000_3200_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,4711.58202829455,4711.58202829455,0.0
ICRP145_RESIZED,Male,Brain,Brain,6100,1449.5416681878035,1449.5416681878035,0.0
ICRP145_RESIZED,Male,Salivary glands,S-glands,12000_12100,81.3769264876669,81.3769264876669,0.0
ICRP145_RESIZED,Male,Skin,Skin,12200_12201,3176.4670101954403,3176.4670101954403,0.0
ICRP145_RESIZED,Male,Basal cells of skin,Skin-bas,12201,93.69861922226112,93.69861922226112,0.0
ICRP145_RESIZED,Male,RAdrenal + LAdrenal,Adrenals,100_200,15.365753900045197,15.365753900045197,0.0
ICRP145_RESIZED,Male,ET region,ET,300_301_302_303_401_402_403_404_405,37.963907543051505,37.963907543051505,0.0
ICRP145_RESIZED,Male,Gallbladder wall,GB-wall,7000,9.170194617739174,9.170194617739174,0.0
ICRP145_RESIZED,Male,Heart wall,Ht-wall,8700,341.40731112772846,341.40731112772846,0.0
ICRP145_RESIZED,Male,RKidney + LKidney,Kidneys,8900_9000_9100_9200_9300_9400,373.5335986508672,373.5335986508672,0.0
ICRP145_RESIZED,Male,Systemic lymph nodes,LN-Sys,10200_10300_10400_10500,139.32095807552173,139.32095807552173,0.0
ICRP145_RESIZED,Male,Muscle,Muscle,10600,26267.36323333447,26267.36323333447,0.0
ICRP145_RESIZED,Male,Oral mucosa,O-mucosa,500_501_600,0.12250422558229317,0.12250422558229317,0.0
