Phantom Group,Sex,Quantity,Organ ID,Organ/tissue,Reference (cm or g),Value (cm or g),% Error
ICRP145,Male,Organ,2300,"Wrists and hand bones, spongiosa",105.23178826377375,118.92688655638592,13.014221765655137
ICRP145,Male,Organ,2400,"Clavicles, cortical",42.69533347934776,48.25181226810412,13.014253165264755
ICRP145,Male,Organ,2500,"Clavicles, spongiosa",39.86844525948271,45.05701335680252,13.01422230927279
ICRP145,Male,Organ,2600,"Cranium, cortical",541.3707962659504,568.4694168021932,5.0055563992651235
ICRP145,Male,Organ,2700,"Cranium, spongiosa",363.80335920595917,382.07292633100957,5.02182474755751
ICRP145,Male,Organ,2800,"Femora, upper, cortical",487.3951669720985,253.54758457975825,-47.97905236629626
ICRP145,Male,Organ,2900,"Femora, upper, spongiosa",360.85186834463804,413.232292237906,14.515769069883572
ICRP145,Male,Organ,3000,"Femora, upper, medullary cavity",93.49327646113062,26.04535047202931,-72.1420069358062
ICRP145,Male,Organ,3100,"Femora, lower, cortical",0.0,307.76097346365503,
ICRP145,Male,Organ,3200,"Femora, lower, spongiosa",327.3572014550552,373.6519545295038,14.141968732832266
ICRP145,Male,Organ,3300,"Femora, lower, medullary cavity",0.0,82.17888245638618,
ICRP145,Male,Organ,3400,"Tibiae, fibulae, and patellae, cortical",480.0635258030162,536.6511904030592,11.787536765136903
ICRP145,Male,Organ,3500,"Tibiae, fibulae, and patellae, spongiosa",554.2725801541859,621.4076462600168,12.112283470193578
ICRP145,Male,Organ,3600,"Tibiae, fibulae, and patellae, medullary cavity",71.68065405430674,79.81493797477779,11.347948798441971
ICRP145,Male,Organ,3700,"Ankles and foot, cortical",215.77270633149516,234.8823427804357,8.856373344820584
ICRP145,Male,Organ,3800,"Ankles and foot, spongiosa",397.2985551082131,432.61504238402995,8.889155729800628
ICRP145,Male,Organ,3900,"Mandible, cortical",70.8002734274618,76.87705057615418,8.582985424368896
ICRP145,Male,Organ,4000,"Mandible, spongiosa",51.72404968052495,56.28731655252362,8.822331004984756
ICRP145,Male,Organ,4100,"Pelvis, cortical",356.2335838252123,402.59467433187353,13.014239142991228
ICRP145,Male,Organ,4200,"Pelvis, spongiosa",548.3128975400481,619.6715755278943,13.014225692663794
ICRP145,Male,Organ,4300,"Ribs, cortical",326.32447763907794,368.7971195707965,13.01546308723253
ICRP145,Male,Organ,4400,"Ribs, spongiosa",404.68463141300094,457.35119431751656,13.014223624115528
ICRP145,Male,Organ,4500,"Scapulae, cortical",197.61506129097148,223.3331223438105,13.014221125064617
ICRP145,Male,Organ,4600,"Scapulae, spongiosa",138.62878471380378,156.67025675647417,13.014232275004526
ICRP145,Male,Organ,4700,"Cervical spine, cortical",94.26003323696276,103.94340658854976,10.273042581306674
ICRP145,Male,Organ,4800,"Cervical spine, spongiosa",71.64944321022621,78.91527127702106,10.140801855886346
ICRP145,Male,Organ,4900,"Thoracic spine, cortical",256.1094369849593,289.4401290938737,13.014238171501589
ICRP145,Male,Organ,5000,"Thoracic spine, spongiosa",305.4675451869742,345.2217732828088,13.014223187442505
ICRP145,Male,Organ,5100,"Lumbar spine, cortical",166.39270912774688,188.04745141355627,13.014237462282141
ICRP145,Male,Organ,5200,"Lumbar spine, spongiosa",258.00678132789494,291.58436460066713,13.014225091277426
ICRP145,Male,Organ,5300,"Sacrum, cortical",97.61628632864999,110.32028826366144,13.01422376614513
ICRP145,Male,Organ,5400,"Sacrum, spongiosa",170.08831814327232,192.2239989586902,13.014227583091332
ICRP145,Male,Organ,5500,"Sternum, cortical",8.840057695424361,9.99052342484324,13.014233266988315
ICRP145,Male,Organ,5600,"Sternum, spongiosa",54.347215370600956,61.42008371703705,13.014224000632336
ICRP145,Male,Organ,5700,"Cartilage, costal",49.84457899682184,56.331463789335835,13.014223257713963
ICRP145,Male,Organ,5800,"Cartilage, discs",72.69653626942004,82.06297945824626,12.88430463057184
ICRP145,Male,Organ,6100,Brain,1449.5416681878035,1517.3896778905007,4.680652594659103
ICRP145,Male,Organ,6200,"Breast, left, adipose tissue",6.887520596157155,7.769025257475426,12.798577499864033
ICRP145,Male,Organ,6300,"Breast, left, glandular tissue",4.58361301966038,5.18013406814562,13.01421053493383
ICRP145,Male,Organ,6400,"Breast, right, adipose tissue",6.8876813723224775,7.769029192598022,12.796001624249934
ICRP145,Male,Organ,6500,"Breast, right, glandular tissue",4.5836158899336334,5.180136443151125,13.01419158022267
ICRP145,Male,Organ,6600,"Eye lens, sensitive, left",0.03680979279049414,0.03888948807554384,5.649842412551599
ICRP145,Male,Organ,6601,"Eye lens, insensitive, left",0.1791486631111861,0.1892705687789634,5.650003461926631
ICRP145,Male,Organ,6700,"Cornea, left",1.0537438479808336,1.1132850686123545,5.650445385338457
ICRP145,Male,Organ,6701,"Aqueous, left",0.29112342046870215,0.3075716047013278,5.649900721193942
ICRP145,Male,Organ,6702,"Vitreous, left",5.794604492806679,6.121993940073037,5.649901519124797
ICRP145,Male,Organ,6800," Eye lens, sensitive, right",0.03680698058432186,0.03888931397097076,5.657441478739174
