Table D.1  -  Photon Dose Response Functions for Regional Absorbed Dose in the Skeletal Tissues of the ICRP Reference Phantoms (Gy m2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Organ ID:  14,,,Organ ID:  15,,,Organ ID:  17,,,Organ ID:  18,,,Organ ID:  20,,,Organ ID:  21,,,Organ ID:  23,,,,,
,"Humeri, upper half",,,"Humeri, upper half",,,"Humeri, lower half",,,"Humeri, lower half",,,Ulnae and Radii,,,Ulnae and Radii,,,Wrist and Hands,,,,,
Photon,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,
0.020,NA,9.35E-17,,NA,1.42E-16,,1.39E-16,1.51E-16,,1.40E-16,1.39E-16,,1.42E-16,1.64E-16,,1.40E-16,1.57E-16,,1.44E-16,1.61E-16,,,,
0.030,NA,3.76E-17,,NA,7.90E-17,,6.02E-17,8.16E-17,,6.15E-17,7.48E-17,,6.29E-17,8.61E-17,,6.16E-17,8.61E-17,,6.43E-17,8.56E-17,,,,
0.040,NA,2.25E-17,,NA,5.96E-17,,3.72E-17,5.94E-17,,3.84E-17,5.45E-17,,3.95E-17,6.17E-17,,3.85E-17,6.29E-17,,4.09E-17,6.15E-17,,,,
0.050,NA,1.94E-17,,NA,5.17E-17,,2.96E-17,5.06E-17,,3.06E-17,4.63E-17,,3.16E-17,5.19E-17,,3.07E-17,5.37E-17,,3.28E-17,5.18E-17,,,,
0.060,NA,2.03E-17,,NA,4.87E-17,,2.79E-17,4.70E-17,,2.88E-17,4.30E-17,,2.96E-17,4.80E-17,,2.89E-17,4.99E-17,,3.08E-17,4.76E-17,,,,
0.080,NA,2.69E-17,,NA,4.90E-17,,3.19E-17,4.68E-17,,3.26E-17,4.24E-17,,3.33E-17,4.77E-17,,3.27E-17,4.94E-17,,3.42E-17,4.69E-17,,,,
0.10,NA,3.53E-17,,NA,5.32E-17,,4.00E-17,5.10E-17,,4.06E-17,4.58E-17,,4.12E-17,5.17E-17,,4.07E-17,5.33E-17,,4.18E-17,5.05E-17,,,,
0.15,NA,6.30E-17,,NA,7.12E-17,,6.56E-17,7.17E-17,,6.61E-17,6.71E-17,,6.76E-17,7.12E-17,,6.61E-17,7.24E-17,,6.68E-17,7.01E-17,,,,
0.20,NA,9.48E-17,,NA,9.49E-17,,9.47E-17,9.47E-17,,9.47E-17,9.47E-17,,9.47E-17,9.47E-17,,9.48E-17,9.48E-17,,9.47E-17,9.47E-17,,,,
0.30,NA,1.53E-16,,NA,1.51E-16,,1.52E-16,1.52E-16,,1.51E-16,1.51E-16,,1.51E-16,1.51E-16,,1.51E-16,1.51E-16,,1.50E-16,1.50E-16,,,,
