[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
  156   11003   2.1990E+01   1.0638E-14  0.3979
  157   11300   1.6631E+02   2.0164E-14  0.1510
  158   11400   6.0312E-01   0.0000E+00  0.0000
  159   11500   1.7088E+01   9.6542E-18  1.0000
  160   11600   1.0390E+03   6.2402E-16  0.2492
  161   11700   1.1903E+04   5.6040E-15  0.0300
  162   11800   1.6505E+03   2.6845E-15  0.1117
  163   11900   4.8031E+03   1.4818E-16  0.3113
  164   12000   4.2721E+01   1.1543E-15  0.9224
  165   12100   4.2721E+01   3.2295E-15  0.5959
  166   12200   2.3804E+02   6.8852E-16  0.2692
  167   12201   7.7778E+00   5.6288E-16  0.2888
  168   12300   1.1673E+03   3.8951E-15  0.0507
  169   12301   3.5278E+01   3.8449E-15  0.0674
  170   12400   5.2866E+02   2.0093E-15  0.1222
  171   12401   1.7303E+01   2.1301E-15  0.1650
  172   12500   1.1570E+03   3.2487E-16  0.2755
  173   12501   3.4701E+01   1.4742E-16  0.3062
  174   12600   3.6811E+01   8.9849E-15  0.3181
  175   12700   2.1547E+02   6.2989E-15  0.2596
  176   12800   1.8872E+01   2.7689E-17  0.9484
  177   12801   4.1479E-02   0.0000E+00  0.0000
  178   12900   1.7884E+01   3.8095E-15  1.0000
  179   13000   1.7884E+01   4.6964E-15  0.9150
  180   13100   2.5130E+01   8.2849E-15  0.6419
  181   13200   2.2217E+01   2.2085E-15  0.9045
  182   13300   1.9993E+01   0.0000E+00  0.0000
  183   13301   5.1954E+01   7.4541E-17  0.9642
  184   13400   3.0156E+00   0.0000E+00  0.0000
  185   13500   8.5442E+00   8.2408E-15  0.6271
  186   13600   7.5390E+00   5.3403E-16  0.8091
  187   13700   4.7866E+01   7.1263E-16  0.4631
  188   13701   1.2671E+00   1.1298E-15  0.5448
  189   13800   1.9231E+02   1.4971E-15  0.5533
  190   14000   1.4017E+02   6.6238E-16  0.8024

#   sum over    7.1128E+04   4.8581E-15  0.0175

'no. =  1'
msuc: {\huge [t-deposit] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+04 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+04 # Total history number or Total batch number
# maxcas =        1000 # History / Batch, only used for istdev=1
# bitrseed = 0111011010010100011001101100101001110100011011011011110011011010 # bit data of rseed
